Aug. 16 - 19,/tournaments/r013/,Wyndham Championship,SIRIUS-XMGOLFCBS,"Sergio Garcia                                             $936,000",500
Oct. 22 - 24,http://www.pga.com/grandslam/,PGA Grand Slam of Golf,"","Padraig Harrington                                             $600,000",0
Nov. 12 - 13,,Wendy's 3-Tour Challenge #,"","Jason Day,Davis Love III,Nick Watney                                             $166,666",0
Nov. 12 - 14,,Tyco Golf Skills Challenge #,"","Peter Hanson,Justin Rose                                             $142,500",0
Nov. 29 - Dec. 02,/tournaments/r478/,World Challenge presented by Northwestern Mutual,GOLFNBC,"Tiger Woods (D)                                             $1,200,000",0
Nov. 28 - Dec. 03,/tournaments/r088/,PGA TOUR Qualifying Tournament,"","Brendon Todd (D)                                             $50,000",0
Dec. 07 - 09,/tournaments/r058/,Franklin Templeton Shootout,GOLFNBC,"Keegan Bradley,Brendan Steele (D)                                             $375,000",0
Aug. 23 - 26,/tournaments/r027/,The Barclays,SIRIUS-XMGOLFCBSLIVE@,"Nick Watney                                             $1,440,000",2500
Aug. 31 - Sep. 03,/tournaments/r505/,Deutsche Bank Championship,SIRIUS-XMGOLFNBCLIVE@,"Rory McIlroy                                             $1,440,000",2500
Sep. 06 - 09,/tournaments/r028/,BMW Championship,SIRIUS-XMGOLFNBCLIVE@,"Rory McIlroy                                             $1,440,000",2500
Sep. 20 - 23,/tournaments/r060/,TOUR Championship by Coca-Cola,SIRIUS-XMGOLFNBCLIVE@,"Brandt Snedeker                                             $1,440,000",2500
Sep. 28 - 30,http://www.rydercup.com,Ryder Cup,ESPNNBC,"",0
Oct. 25 - 28,/tournaments/r494/,CIMB Classic,GOLF,"Nick Watney                                             $1,300,000",0
Nov. 01 - 04,http://www.worldgolfchampionships.com/tournaments/r489/,World Golf Championships-HSBC Champions,GOLF,"Ian Poulter                                             $1,200,000",0
Oct. 04 - 07,/tournaments/r047/,Justin Timberlake Shriners Hospitals for Children Open,SIRIUS-XMGOLF,"Ryan Moore                                             $810,000",0
Oct. 11 - 14,/tournaments/r464/,Frys.com Open,SIRIUS-XMGOLF,"Jonas Blixt                                             $900,000",0
Oct. 18 - 21,/tournaments/r493/,The McGladrey Classic,SIRIUS-XMGOLF,"Tommy Gainey                                             $720,000",0
Nov. 08 - 11,/tournaments/r045/,Children's Miracle Network Hospitals Classic,SIRIUS-XMGOLF,"Charlie Beljan                                             $846,000",0
